id;x;y;z;
0;1;0;0;
1;-1;0;0;
2;0;1;0;
3;0;-1;0;
4;0;0;1;
5;0;0;-1;
6;0;0.447214;0.894427;
7;0;0.894427;0.447214;
8;0.447214;0;0.894427;
9;0.57735;0.57735;0.57735;
10;0.447214;0.894427;1.48952e-16;
11;0.894427;0;0.447214;
12;0.894427;0.447214;7.4476e-17;
13;0;-0.894427;0.447214;
14;0;-0.447214;0.894427;
15;0.447214;-0.894427;0;
16;0.57735;-0.57735;0.57735;
17;0.894427;-0.447214;0;
18;0;-0.447214;-0.894427;
19;0;-0.894427;-0.447214;
20;0.447214;0;-0.894427;
21;0.57735;-0.57735;-0.57735;
22;0.894427;0;-0.447214;
23;0;0.894427;-0.447214;
24;0;0.447214;-0.894427;
25;0.57735;0.57735;-0.57735;
26;-0.447214;0;0.894427;
27;-0.57735;0.57735;0.57735;
28;-0.447214;0.894427;1.48952e-16;
29;-0.894427;0;0.447214;
30;-0.894427;0.447214;7.4476e-17;
31;-0.447214;-0.894427;0;
32;-0.57735;-0.57735;0.57735;
33;-0.894427;-0.447214;0;
34;-0.447214;0;-0.894427;
35;-0.57735;-0.57735;-0.57735;
36;-0.894427;0;-0.447214;
37;-0.57735;0.57735;-0.57735;
