id;origin;end;
0;4;6;
1;4;8;
2;6;7;
3;6;8;
4;6;9;
5;2;7;
6;7;9;
7;7;10;
8;2;10;
9;8;9;
10;8;11;
11;9;10;
12;9;11;
13;9;12;
14;10;12;
15;11;12;
16;0;11;
17;0;12;
18;3;13;
19;3;15;
20;13;14;
21;13;15;
22;13;16;
23;4;14;
24;14;16;
25;8;14;
26;15;16;
27;15;17;
28;8;16;
29;16;17;
30;11;16;
31;11;17;
32;0;17;
33;5;18;
34;5;20;
35;18;19;
36;18;20;
37;18;21;
38;3;19;
39;19;21;
40;15;19;
41;20;21;
42;20;22;
43;15;21;
44;21;22;
45;17;21;
46;17;22;
47;0;22;
48;2;23;
49;23;24;
50;10;23;
51;23;25;
52;5;24;
53;24;25;
54;20;24;
55;10;25;
56;20;25;
57;12;25;
58;22;25;
59;12;22;
60;4;26;
61;6;26;
62;6;27;
63;7;27;
64;7;28;
65;2;28;
66;26;27;
67;26;29;
68;27;28;
69;27;29;
70;27;30;
71;28;30;
72;29;30;
73;1;29;
74;1;30;
75;3;31;
76;13;31;
77;13;32;
78;14;32;
79;14;26;
80;31;32;
81;31;33;
82;26;32;
83;32;33;
84;29;32;
85;29;33;
86;1;33;
87;5;34;
88;18;34;
89;18;35;
90;19;35;
91;19;31;
92;34;35;
93;34;36;
94;31;35;
95;35;36;
96;33;35;
97;33;36;
98;1;36;
99;23;28;
100;23;37;
101;24;37;
102;24;34;
103;28;37;
104;34;37;
105;30;37;
106;36;37;
107;30;36;
