id;vertices;edges;
0;4,6,8;-1,-1,-1;
1;6,7,9;-1,-1,-1;
2;6,8,9;-1,-1,-1;
3;2,7,10;-1,-1,-1;
4;7,9,10;-1,-1,-1;
5;8,9,11;-1,-1,-1;
6;9,10,12;-1,-1,-1;
7;9,11,12;-1,-1,-1;
8;0,11,12;-1,-1,-1;
9;3,13,15;-1,-1,-1;
10;13,14,16;-1,-1,-1;
11;13,15,16;-1,-1,-1;
12;4,8,14;-1,-1,-1;
13;8,14,16;-1,-1,-1;
14;15,16,17;-1,-1,-1;
15;8,11,16;-1,-1,-1;
16;11,16,17;-1,-1,-1;
17;0,11,17;-1,-1,-1;
18;5,18,20;-1,-1,-1;
19;18,19,21;-1,-1,-1;
20;18,20,21;-1,-1,-1;
21;3,15,19;-1,-1,-1;
22;15,19,21;-1,-1,-1;
23;20,21,22;-1,-1,-1;
24;15,17,21;-1,-1,-1;
25;17,21,22;-1,-1,-1;
26;0,17,22;-1,-1,-1;
27;2,10,23;-1,-1,-1;
28;23,24,25;-1,-1,-1;
29;10,23,25;-1,-1,-1;
30;5,20,24;-1,-1,-1;
31;20,24,25;-1,-1,-1;
32;10,12,25;-1,-1,-1;
33;20,22,25;-1,-1,-1;
34;12,22,25;-1,-1,-1;
35;0,12,22;-1,-1,-1;
36;4,6,26;-1,-1,-1;
37;6,7,27;-1,-1,-1;
38;6,26,27;-1,-1,-1;
39;2,7,28;-1,-1,-1;
40;7,27,28;-1,-1,-1;
41;26,27,29;-1,-1,-1;
42;27,28,30;-1,-1,-1;
43;27,29,30;-1,-1,-1;
44;1,29,30;-1,-1,-1;
45;3,13,31;-1,-1,-1;
46;13,14,32;-1,-1,-1;
47;13,31,32;-1,-1,-1;
48;4,14,26;-1,-1,-1;
49;14,26,32;-1,-1,-1;
50;31,32,33;-1,-1,-1;
51;26,29,32;-1,-1,-1;
52;29,32,33;-1,-1,-1;
53;1,29,33;-1,-1,-1;
54;5,18,34;-1,-1,-1;
55;18,19,35;-1,-1,-1;
56;18,34,35;-1,-1,-1;
57;3,19,31;-1,-1,-1;
58;19,31,35;-1,-1,-1;
59;34,35,36;-1,-1,-1;
60;31,33,35;-1,-1,-1;
61;33,35,36;-1,-1,-1;
62;1,33,36;-1,-1,-1;
63;2,23,28;-1,-1,-1;
64;23,24,37;-1,-1,-1;
65;23,28,37;-1,-1,-1;
66;5,24,34;-1,-1,-1;
67;24,34,37;-1,-1,-1;
68;28,30,37;-1,-1,-1;
69;34,36,37;-1,-1,-1;
70;30,36,37;-1,-1,-1;
71;1,30,36;-1,-1,-1;
